phrase|type|translation|exportedAt|status|knownAt|s1|s2|s3|note
allergic to|adjective|аллергия на|2026-04-09|learning|||She is **allergic to** cats.|I'm **allergic to** peanuts.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
attached to|adjective|привязанный к|2026-04-09|learning|||She is very **attached to** her dog.|He became **attached to** the place.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
compatible with|adjective|совместимый с|2026-04-09|learning|||This app is **compatible with** all phones.|Are these parts **compatible with** the machine?|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
dedicated to|adjective|преданный чему-то|2026-04-09|learning|||She is **dedicated to** her work.|He is **dedicated to** helping others.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
dependent on|adjective|зависимый от|2026-04-09|learning|||She is **dependent on** her parents.|Success is **dependent on** effort.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
eligible for|adjective|имеющий право на|2026-04-09|learning|||She is **eligible for** the scholarship.|Are you **eligible for** a discount?|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
equivalent to|adjective|эквивалентный чему-то|2026-04-09|learning|||One mile is **equivalent to** 1.6 km.|This is **equivalent to** a week's salary.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
exposed to|adjective|подверженный чему-то|2026-04-09|learning|||The house is **exposed to** strong winds.|Children are **exposed to** many germs.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
grateful to|adjective|благодарный кому-то|2026-04-09|learning|||I'm **grateful to** my parents.|She is **grateful to** her teacher.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
identical to|adjective|идентичный чему-то|2026-04-09|learning|||This copy is **identical to** the original.|Her bag is **identical to** mine.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
immune to|adjective|имеющий иммунитет к|2026-04-09|learning|||She is **immune to** the virus.|He seems **immune to** criticism.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
independent of|adjective|независимый от|2026-04-09|learning|||She is **independent of** her parents.|The result is **independent of** the method.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
inferior to|adjective|уступающий чему-то|2026-04-09|learning|||This product is **inferior to** the original.|He felt **inferior to** his colleagues.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
limited to|adjective|ограниченный чем-то|2026-04-09|learning|||The offer is **limited to** 100 people.|Access is **limited to** members only.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
loyal to|adjective|верный кому-то|2026-04-09|learning|||She is **loyal to** her friends.|He is **loyal to** the company.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
obliged to|adjective|обязанный|2026-04-09|learning|||I felt **obliged to** help.|She is **obliged to** attend the meeting.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
prone to|adjective|склонный к|2026-04-09|learning|||She is **prone to** headaches.|He is **prone to** making mistakes.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
reluctant to|adjective|неохотный|2026-04-09|learning|||She is **reluctant to** speak in public.|He was **reluctant to** change.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
sensitive to|adjective|чувствительный к|2026-04-09|learning|||She is **sensitive to** light.|He is **sensitive to** criticism.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
subject to|adjective|подверженный чему-to|2026-04-09|learning|||Prices are **subject to** change.|The plan is **subject to** approval.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
vulnerable to|adjective|уязвимый для|2026-04-09|learning|||Children are **vulnerable to** illness.|The system is **vulnerable to** attack.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
approach to|noun|подход к|2026-04-09|learning|||He has a new **approach to** teaching.|What is your **approach to** the problem?|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
awareness of|noun|осведомлённость о|2026-04-09|learning|||There is a growing **awareness of** the issue.|She has good **awareness of** the risks.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
belief in|noun|вера в|2026-04-09|learning|||She has a strong **belief in** justice.|His **belief in** himself is impressive.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
contribution to|noun|вклад в|2026-04-09|learning|||She made a big **contribution to** the project.|His **contribution to** science is huge.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
desire for|noun|желание чего-то|2026-04-09|learning|||He has a strong **desire for** success.|Her **desire for** knowledge is endless.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
enthusiasm for|noun|энтузиазм по поводу|2026-04-09|learning|||She has great **enthusiasm for** her work.|His **enthusiasm for** sport is clear.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
intention of|noun|намерение|2026-04-09|learning|||I have no **intention of** leaving.|She has every **intention of** winning.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
reaction to|noun|реакция на|2026-04-09|learning|||What was your **reaction to** the news?|His **reaction to** the film was positive.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
reputation for|noun|репутация за|2026-04-09|learning|||The school has a **reputation for** excellence.|He has a **reputation for** honesty.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
response to|noun|ответ на|2026-04-09|learning|||There was no **response to** my letter.|In **response to** your question, yes.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
responsibility for|noun|ответственность за|2026-04-09|learning|||Who has **responsibility for** this area?|She took **responsibility for** the mistake.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
success in|noun|успех в|2026-04-09|learning|||Her **success in** business is impressive.|He had great **success in** his career.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
threat to|noun|угроза для|2026-04-09|learning|||Pollution is a **threat to** wildlife.|He is no **threat to** anyone.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
demand on|noun|требование к|2026-04-09|learning|||The job puts great **demands on** him.|There are many **demands on** her time.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
impact on|noun|воздействие на|2026-04-09|learning|||The rain had a big **impact on** the game.|Technology has an **impact on** education.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
insight into|noun|понимание чего-то|2026-04-09|learning|||The book gives an **insight into** his life.|She has good **insight into** the problem.|Преобразование, проникновение: divide into, translate into, run into, look into, transform into. "В (превращение) / внутрь → INTO".
link between|noun|связь между|2026-04-09|learning|||There is a **link between** stress and illness.|Scientists found a **link between** the two.|Между двумя сторонами: choose between, difference between, link between, connection between, contrast between. "Между двумя → BETWEEN".
objection to|noun|возражение против|2026-04-09|learning|||I have no **objection to** the plan.|She raised an **objection to** the idea.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
preference for|noun|предпочтение чего-то|2026-04-09|learning|||She has a **preference for** tea over coffee.|He showed a **preference for** the blue one.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
agree on|verb|договориться о|2026-04-09|learning|||We **agreed on** a price.|They **agreed on** a date.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
agree to|verb|согласиться на|2026-04-09|learning|||She **agreed to** help us.|He **agreed to** the terms.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
apply to|verb|обращаться в / относиться к|2026-04-09|learning|||This rule **applies to** everyone.|She **applied to** three universities.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
beg for|verb|умолять о|2026-04-09|learning|||He **begged for** forgiveness.|She **begged for** help.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
comply with|verb|соблюдать|2026-04-09|learning|||You must **comply with** the rules.|The company **complies with** the law.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
confess to|verb|признаться в|2026-04-09|learning|||He **confessed to** the crime.|She **confessed to** lying.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
cooperate with|verb|сотрудничать с|2026-04-09|learning|||We **cooperate with** other schools.|She **cooperated with** the police.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
correspond to|verb|соответствовать|2026-04-09|learning|||The numbers don't **correspond to** the data.|This **corresponds to** what I expected.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
excel at|verb|преуспевать в|2026-04-09|learning|||She **excels at** sports.|He **excels at** maths.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
experiment with|verb|экспериментировать с|2026-04-09|learning|||She **experiments with** new recipes.|He **experimented with** different colours.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
identify with|verb|отождествлять себя с|2026-04-09|learning|||I **identify with** the main character.|She **identifies with** working mothers.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
impose on|verb|навязывать кому-то|2026-04-09|learning|||Don't **impose** your views **on** others.|The government **imposed** a tax **on** fuel.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
indulge in|verb|предаваться чему-то|2026-04-09|learning|||She **indulges in** chocolate sometimes.|He **indulges in** luxury travel.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
interfere with|verb|вмешиваться в|2026-04-09|learning|||Don't **interfere with** my work.|The noise **interferes with** my sleep.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
long for|verb|тосковать по|2026-04-09|learning|||She **longs for** her home country.|He **longs for** peace and quiet.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
persist in|verb|упорствовать в|2026-04-09|learning|||She **persists in** asking questions.|He **persisted in** his opinion.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
provide for|verb|обеспечивать|2026-04-09|learning|||He **provides for** his family.|The law **provides for** such cases.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
refrain from|verb|воздерживаться от|2026-04-09|learning|||Please **refrain from** smoking.|She **refrained from** commenting.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
report to|verb|подчиняться кому-то|2026-04-09|learning|||She **reports to** the director.|He **reports to** the manager.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
wish for|verb|желать чего-то|2026-04-09|learning|||What do you **wish for**?|She **wished for** good weather.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
absent from|adjective|отсутствующий|2026-04-09|learning|||She was **absent from** class today.|He has been **absent from** work all week.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
accessible to|adjective|доступный для|2026-04-09|learning|||The building is **accessible to** everyone.|Is this website **accessible to** all?|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
appropriate for|adjective|подходящий для|2026-04-09|learning|||This film is not **appropriate for** children.|Is this dress **appropriate for** the event?|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
available for|adjective|доступный для|2026-04-09|learning|||She is **available for** a meeting.|The room is **available for** booking.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
beneficial to|adjective|полезный для|2026-04-09|learning|||Exercise is **beneficial to** your health.|Fresh air is **beneficial to** everyone.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
committed to|adjective|преданный чему-то|2026-04-09|learning|||She is **committed to** the project.|He is **committed to** his family.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
comparable to|adjective|сравнимый с|2026-04-09|learning|||The quality is **comparable to** the original.|Her skills are **comparable to** his.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
consistent with|adjective|согласующийся с|2026-04-09|learning|||The data is **consistent with** the theory.|His story is **consistent with** the facts.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
contrary to|adjective|вопреки|2026-04-09|learning|||**Contrary to** belief, he is kind.|**Contrary to** expectations, she won.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
convenient for|adjective|удобный для|2026-04-09|learning|||The hotel is **convenient for** the airport.|Is this time **convenient for** you?|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
convinced of|adjective|убеждённый в|2026-04-09|learning|||I'm **convinced of** his honesty.|She is **convinced of** his guilt.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
critical of|adjective|критически настроенный к|2026-04-09|learning|||She is **critical of** the government.|He was **critical of** the decision.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
crowded with|adjective|переполненный чем-то|2026-04-09|learning|||The room was **crowded with** people.|The beach is **crowded with** tourists.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
dangerous for|adjective|опасный для|2026-04-09|learning|||Smoking is **dangerous for** your health.|This road is **dangerous for** cyclists.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
determined to|adjective|решительно настроенный|2026-04-09|learning|||She is **determined to** succeed.|He was **determined to** finish the race.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
disappointed in|adjective|разочарованный в|2026-04-09|learning|||I'm **disappointed in** you.|She was **disappointed in** the result.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
distinct from|adjective|отличный от|2026-04-09|learning|||This species is **distinct from** others.|Her style is **distinct from** her sister's.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
doubtful about|adjective|сомневающийся в|2026-04-09|learning|||I'm **doubtful about** his story.|She is **doubtful about** the plan.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
due to|adjective|из-за|2026-04-09|learning|||The delay is **due to** bad weather.|She was late **due to** traffic.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
eager for|adjective|жаждущий чего-то|2026-04-09|learning|||She is **eager for** knowledge.|He is **eager for** a promotion.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
essential for|adjective|существенный для|2026-04-09|learning|||Water is **essential for** life.|Sleep is **essential for** health.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
exempt from|adjective|освобождённый от|2026-04-09|learning|||Students are **exempt from** the fee.|She is **exempt from** the test.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
fit for|adjective|пригодный для|2026-04-09|learning|||The water is not **fit for** drinking.|Is this room **fit for** a meeting?|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
free from|adjective|свободный от|2026-04-09|learning|||The area is **free from** pollution.|She wants to be **free from** worry.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
fundamental to|adjective|фундаментальный для|2026-04-09|learning|||Trust is **fundamental to** relationships.|Education is **fundamental to** progress.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
generous to|adjective|щедрый к|2026-04-09|learning|||She is very **generous to** her friends.|He was **generous to** the poor.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
harmful to|adjective|вредный для|2026-04-09|learning|||Sugar is **harmful to** your teeth.|Pollution is **harmful to** wildlife.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
ignorant of|adjective|не знающий о|2026-04-09|learning|||He was **ignorant of** the danger.|She is **ignorant of** the rules.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
important for|adjective|важный для|2026-04-09|learning|||Sleep is **important for** health.|This is **important for** your career.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
incapable of|adjective|неспособный на|2026-04-09|learning|||He is **incapable of** lying.|She seems **incapable of** learning.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
indifferent to|adjective|равнодушный к|2026-04-09|learning|||She is **indifferent to** fashion.|He seems **indifferent to** the news.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
innocent of|adjective|невиновный в|2026-04-09|learning|||He was found **innocent of** the crime.|She is **innocent of** any wrongdoing.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
key to|noun|ключ к|2026-04-09|learning|||Education is the **key to** success.|Hard work is the **key to** progress.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
liable for|adjective|ответственный за (юр.)|2026-04-09|learning|||He is **liable for** the damage.|The company is **liable for** the costs.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
necessary for|adjective|необходимый для|2026-04-09|learning|||Food is **necessary for** survival.|A visa is **necessary for** travel.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
new to|adjective|новый в чём-то|2026-04-09|learning|||She is **new to** the company.|I'm **new to** this city.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
obvious to|adjective|очевидный для|2026-04-09|learning|||It was **obvious to** everyone.|The answer is **obvious to** me.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
open to|adjective|открытый для|2026-04-09|learning|||She is **open to** new ideas.|I'm **open to** suggestions.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
perfect for|adjective|идеальный для|2026-04-09|learning|||This dress is **perfect for** the party.|The weather is **perfect for** a walk.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
preferable to|adjective|предпочтительнее чем|2026-04-09|learning|||Walking is **preferable to** driving.|This option is **preferable to** the other.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
qualified for|adjective|квалифицированный для|2026-04-09|learning|||She is **qualified for** the position.|Is he **qualified for** this job?|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
resistant to|adjective|устойчивый к|2026-04-09|learning|||This plant is **resistant to** cold.|He is **resistant to** change.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
rich in|adjective|богатый чем-то|2026-04-09|learning|||This food is **rich in** vitamins.|The area is **rich in** history.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
significant to|adjective|значимый для|2026-04-09|learning|||This event is **significant to** our history.|The discovery was **significant to** science.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
strict about|adjective|строгий в отношении|2026-04-09|learning|||She is **strict about** punctuality.|He is **strict about** the rules.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
sufficient for|adjective|достаточный для|2026-04-09|learning|||Is this **sufficient for** the project?|The budget is **sufficient for** our needs.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
sympathetic to|adjective|сочувствующий|2026-04-09|learning|||She was **sympathetic to** his problems.|He is **sympathetic to** our cause.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
useful for|adjective|полезный для|2026-04-09|learning|||This book is **useful for** learning English.|The app is **useful for** travellers.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
weak at|adjective|слабый в|2026-04-09|learning|||I'm **weak at** spelling.|She is **weak at** science.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
absence from|noun|отсутствие на|2026-04-09|learning|||Her **absence from** work was noticed.|His **absence from** class is a problem.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
admiration for|noun|восхищение чем-то|2026-04-09|learning|||She has great **admiration for** her teacher.|His **admiration for** art is deep.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
agreement on|noun|соглашение о|2026-04-09|learning|||They reached an **agreement on** the price.|There is no **agreement on** the issue.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
alternative to|noun|альтернатива чему-то|2026-04-09|learning|||Is there an **alternative to** this plan?|Walking is an **alternative to** driving.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
attempt at|noun|попытка чего-то|2026-04-09|learning|||Her first **attempt at** cooking failed.|He made an **attempt at** humour.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
attention to|noun|внимание к|2026-04-09|learning|||Pay **attention to** the details.|She gives **attention to** every student.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
ban on|noun|запрет на|2026-04-09|learning|||There is a **ban on** smoking here.|The city introduced a **ban on** plastic bags.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
barrier to|noun|барьер для|2026-04-09|learning|||Language is a **barrier to** communication.|Cost is a **barrier to** education.|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
